name,rate,dish_liked,reviews_list,cuisines_감자탕,"cuisines_곰탕,설렁탕","cuisines_곱창,막창,양",cuisines_공방,"cuisines_과일,주스전문점",cuisines_국밥,cuisines_국수,cuisines_김밥,cuisines_낙지요리,cuisines_냉면,"cuisines_다이어트,샐러드",cuisines_닭갈비,cuisines_닭발,cuisines_닭요리,cuisines_덮밥,"cuisines_도시락,컵밥",cuisines_돈가스,cuisines_돼지고기구이,cuisines_두부요리,"cuisines_딤섬,중식만두",cuisines_떡볶이,cuisines_라면,cuisines_마라탕,cuisines_만두,"cuisines_매운탕,해물탕","cuisines_맥주,호프","cuisines_멕시코,남미음식",cuisines_밀키트,cuisines_바(BAR),cuisines_바오밥나무과자점,"cuisines_백반,가정식","cuisines_백숙,삼계탕",cuisines_베이글,cuisines_베트남음식,cuisines_분식,cuisines_브런치,cuisines_비빔밥,cuisines_샌드위치,cuisines_생선구이,cuisines_생선회,cuisines_샤브샤브,cuisines_소고기구이,"cuisines_순대,순댓국",cuisines_술집,"cuisines_스테이크,립","cuisines_스파게티,파스타전문",cuisines_스페인음식,cuisines_쌈밥,"cuisines_아귀찜,해물찜",cuisines_아시아음식,cuisines_아이스크림,cuisines_애플김밥,cuisines_양꼬치,cuisines_양식,"cuisines_오뎅,꼬치",cuisines_오리요리,cuisines_와인,cuisines_와플,cuisines_요리주점,"cuisines_우동,소바","cuisines_육류,고기요리",cuisines_이자카야,cuisines_이탈리아음식,cuisines_인도음식,cuisines_일본식라면,cuisines_일식당,"cuisines_장어,먹장어요리","cuisines_전,빈대떡","cuisines_전통,민속주점",cuisines_정육식당,cuisines_조개요리,"cuisines_족발,보쌈",cuisines_종합분식,cuisines_주꾸미요리,cuisines_죽,cuisines_중식당,"cuisines_찌개,전골",cuisines_찜닭,cuisines_차,"cuisines_초밥,롤","cuisines_치킨,닭강정",cuisines_카레,"cuisines_칼국수,만두",cuisines_케이크전문,cuisines_태국음식,cuisines_테이크아웃커피,cuisines_토스트,cuisines_패밀리레스토랑,cuisines_포장마차,cuisines_퓨전음식,cuisines_프랑스음식,cuisines_피자,cuisines_한식,cuisines_한정식,cuisines_핫도그,cuisines_해장국,cuisines_햄버거,cuisines_호두과자,city_Banashankari,city_Bannerghatta Road,cost,Mean Rating
Jalsa,4.1,"체다치즈카츠, 에비텐어묵우동+돈카츠, 에비텐온소바+돈카츠, 카라이(辛)마제소바+에비텐, 돈카츠추가, 냉소바, 냉소바+돈카츠","음식이 맛있어요: 2044, 매장이 청결해요: 1597, 매장이 넓어요: 1596, 친절해요: 1226, 혼밥하기 좋아요: 946",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0796472431215904,0.8119683148694381
Spice Elephant,4.1,"녹두빈대떡, 생선튀김 대, 국시, 바싹불고기 소, 문어, 생선튀김 소, 수육 소","음식이 맛있어요: 1019, 특별한 메뉴가 있어요: 301, 양이 많아요: 237, 친절해요: 224, 재료가 신선해요: 188",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07955914708707527,0.7728871003541284
San Churro Cafe,3.8,"하이디라오 황후(100g), 후추탕훠궈, 버섯탕훠궈, 하이디라오 특제면(1인분), 청유마라훠궈(오리지널), 하이디라오 특제소고기(180g), 토마토탕훠궈","음식이 맛있어요: 1495, 친절해요: 1246, 매장이 넓어요: 841, 재료가 신선해요: 749, 매장이 청결해요: 718",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07964915111043114,0.010803417305590928
Addhuri Udupi Bhojana,3.7,꽃게 한마리 칼국수(소),"음식이 맛있어요: 432, 친절해요: 232, 재료가 신선해요: 126, 특별한 메뉴가 있어요: 108, 매장이 청결해요: 87",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07960954451743395,-0.24322447704392128
Grand Village,3.8,"항정살 참나물무침, 리코타 치즈와 절임 방울토마토","음식이 맛있어요: 272, 술이 다양해요: 207, 인테리어가 멋져요: 196, 친절해요: 131, 특별한 메뉴가 있어요: 105",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07959288352483182,0.010803417305590928
Timepass Dinner,3.8,"칼국수, 생선전 소, 수육(소), 수육 대, 문어(소), 설렁탕, 문어 대","음식이 맛있어요: 232, 특별한 메뉴가 있어요: 60, 양이 많아요: 45, 재료가 신선해요: 42, 친절해요: 42",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07953718110180381,0.010803417305590928
Onesta,4.6,Finca la Estacada Varietals,"술이 다양해요: 136, 음식이 맛있어요: 129, 인테리어가 멋져요: 124, 대화하기 좋아요: 98, 친절해요: 92",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07973487496924694,1.5545113906603203
Penthouse Cafe,4.0,"반반이, 육즙가득 튀김만두, 살얼음 동동 물냉면, 물냉면or비빔냉면 +돈까스, 매콤 달콤 비빔냉면, 명태회 냉면 +돈까스, 달콤한 갈비만두","음식이 맛있어요: 640, 가성비가 좋아요: 209, 혼밥하기 좋아요: 180, 친절해요: 142, 양이 많아요: 142",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.079669598692261,0.5188592060046153
Smacznego,4.2,"에이드, 뽀모도로 파스타, 스텔라 / Beer, 아라비아따 파스타, 베르멘티노 / Glass wine, 안심 팬스테이크, 콥 샐러드","음식이 맛있어요: 175, 친절해요: 72, 가성비가 좋아요: 65, 매장이 청결해요: 40, 인테리어가 멋져요: 35",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07963416299904007,1.0269149947036398
CafãÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,4.1,"연어회, 치킨가츠, 찐교자(7개), 生연어덮밥, 만둣국, 굴만둣국(계절메뉴), 가츠동","음식이 맛있어요: 280, 친절해요: 112, 재료가 신선해요: 82, 특별한 메뉴가 있어요: 74, 가성비가 좋아요: 72",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07965693607612388,0.7728871003541284
